symbol,baseline_min_edge_bps,selected_min_edge_bps,baseline_minute_sharpe,selected_minute_sharpe,minute_sharpe_delta,minute_sharpe_pct_delta,baseline_daily_sharpe,selected_daily_sharpe,baseline_total_pnl_bps,selected_total_pnl_bps,baseline_worst_drawdown_bps,selected_worst_drawdown_bps,baseline_trade_count,selected_trade_count,selected_daily_results,selected_summary_file
SPY,0.20,0.30,0.761093435981,0.768972405674,0.007878969693,0.010352171390,1.554234534910,1.545953593620,14323.515700,14110.674700,-8.608548,-8.608548,25743,25666,build/sharpe_experiments/spy_mm_edge030/daily_results.csv,build/sharpe_experiments/spy_mm_edge030/results_summary.csv
QQQ,0.20,0.30,0.453262584975,0.577318863020,0.124056278045,0.273696268250,1.581414772293,1.528250197239,11660.652700,11350.481100,-14.300815,-12.148371,35247,34247,build/sharpe_experiments/qqq_mm_edge030/daily_results.csv,build/sharpe_experiments/qqq_mm_edge030/results_summary.csv
IWM,0.20,0.75,0.381904853326,0.397095592162,0.015190738836,0.039776239301,1.571350235248,1.571753005318,6209.212600,5375.242600,-12.155251,-13.737053,17080,9621,build/sharpe_experiments/iwm_mm_edge075/daily_results.csv,build/sharpe_experiments/iwm_mm_edge075/results_summary.csv
