date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-04-17,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_17.csv,709244,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_04_17_mm-only_heuristic,709244,541,356,66.0688,60,93.4743,7.1188,0.5723,5.1341,0
2026-04-20,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_20.csv,788382,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_04_20_mm-only_heuristic,788382,701,74,14.0365,60,139.6075,5.3968,0.6436,6.7250,0
2026-04-21,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_21.csv,746786,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_04_21_mm-only_heuristic,746786,650,4278,688.4403,60,82.4214,9.1495,0.5612,4.4479,0
2026-04-22,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_22.csv,755682,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_04_22_mm-only_heuristic,755682,794,1169,200.1497,60,386.6017,13.5546,0.2036,1.5869,0
2026-04-23,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_23.csv,719487,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_04_23_mm-only_heuristic,719487,713,63,9.9584,60,136.6443,10.3433,0.5451,6.7302,0
2026-04-24,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_24.csv,963341,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_04_24_mm-only_heuristic,963341,787,0,0.0000,60,181.2282,6.7108,0.8583,7.2261,0
2026-04-27,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_27.csv,729806,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_04_27_mm-only_heuristic,729806,752,130,24.2311,60,354.3076,10.8905,0.2741,2.2529,0
2026-04-28,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_28.csv,699470,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_04_28_mm-only_heuristic,699470,529,384,61.4124,60,156.4084,6.1518,0.6097,7.9887,0
2026-04-29,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_29.csv,645671,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_04_29_mm-only_heuristic,645671,605,1788,312.4897,60,88.0470,6.9906,0.5252,4.8744,0
2026-04-30,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_30.csv,834769,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_04_30_mm-only_heuristic,834769,940,945,167.6998,60,161.2879,5.6048,0.7522,6.8526,0
2026-05-01,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_01.csv,650662,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_05_01_mm-only_heuristic,650662,740,0,0.0000,60,257.1787,8.0358,0.7800,9.6558,0
2026-05-04,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_04.csv,426421,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_05_04_mm-only_heuristic,426421,266,0,0.0000,60,114.0762,2.9077,0.6099,7.4919,0
2026-05-05,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_05.csv,658411,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_05_05_mm-only_heuristic,658411,776,0,0.0000,60,286.0843,8.9036,0.8393,10.7834,0
2026-05-06,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_06.csv,803359,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_05_06_mm-only_heuristic,803359,632,0,0.0000,60,208.3351,5.0886,0.7333,11.8248,0
2026-05-07,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_07.csv,733009,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_05_07_mm-only_heuristic,733009,1146,1374,199.8561,60,263.1758,17.2565,0.7736,8.5397,0
2026-05-08,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_08.csv,560353,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_05_08_mm-only_heuristic,560353,686,940,134.0856,60,292.3499,17.9312,0.2358,1.9008,0
2026-05-11,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_11.csv,927144,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_05_11_mm-only_heuristic,927144,745,199,37.2125,60,209.6961,8.1123,0.4358,3.4920,0
2026-05-12,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_12.csv,876266,build/real_quote_symbol_suite/qqq/real_quote_backtest_mm_only/qqq_2026_05_12_mm-only_heuristic,876266,681,1104,180.8736,60,107.3915,13.0784,0.4733,4.5250,0
