date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-03-30,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_30.csv,777568,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_03_30_mm-only_heuristic,777536,405,44,8.9396,60,207.7398,7.1124,0.7077,7.5785,32
2026-03-31,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_03_31.csv,870370,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_03_31_mm-only_heuristic,870325,426,67,22.2657,60,145.3561,5.5773,0.7028,6.0501,45
2026-04-01,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_01.csv,603643,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_04_01_mm-only_heuristic,603640,153,0,0.0000,60,63.0066,6.3058,0.5200,4.1161,3
2026-04-02,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_02.csv,961061,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_04_02_mm-only_heuristic,961054,792,0,0.0000,60,311.9081,9.6058,0.8323,8.8326,7
2026-04-06,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_06.csv,408932,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_04_06_mm-only_heuristic,408918,101,0,0.0000,60,51.2475,4.7690,0.4434,3.9030,14
2026-04-07,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_07.csv,584756,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_04_07_mm-only_heuristic,584741,818,472,62.6250,60,199.6152,13.6275,0.7243,6.7305,15
2026-04-08,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_08.csv,664568,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_04_08_mm-only_heuristic,664556,456,2,0.5486,60,140.0988,4.0755,0.8046,7.3754,12
2026-04-09,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_09.csv,465035,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_04_09_mm-only_heuristic,465034,506,9,6.7592,60,339.1940,2.9307,0.7931,16.7247,1
2026-04-10,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_10.csv,342409,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_04_10_mm-only_heuristic,342406,544,21,14.1208,60,271.1599,3.5635,1.0921,13.0362,3
2026-04-13,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_13.csv,151544,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_04_13_mm-only_heuristic,151540,163,0,0.0000,60,92.7153,3.0427,0.5391,8.8591,4
2026-04-14,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_14.csv,361549,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_04_14_mm-only_heuristic,361540,625,39,41.8672,60,496.1832,4.2584,1.4111,18.6461,9
2026-04-15,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_15.csv,344213,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_04_15_mm-only_heuristic,344212,789,117,95.2696,60,571.1007,2.1600,1.2045,19.6621,1
2026-04-16,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_16.csv,438305,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_04_16_mm-only_heuristic,438300,585,9,6.2893,60,420.5136,3.4708,0.9469,17.4146,5
2026-04-17,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_17.csv,287100,build/real_quote_symbol_suite/spy/latency_100000us_mm_only/spy_2026_04_17_mm-only_heuristic,287085,211,3,0.5233,60,104.7116,3.0002,0.7758,8.2473,15
