date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-03-02,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_02.csv,1036245,build/real_quote_symbol_suite/qqq/latency_100000us_mm_only/qqq_2026_03_02_mm-only_heuristic,1036183,624,0,0.0000,60,480.6474,3.7151,0.7671,15.9822,62
2026-03-03,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_03.csv,1205769,build/real_quote_symbol_suite/qqq/latency_100000us_mm_only/qqq_2026_03_03_mm-only_heuristic,1205734,938,0,0.0000,60,342.5202,4.8556,1.0954,11.4496,35
2026-03-04,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_04.csv,798088,build/real_quote_symbol_suite/qqq/latency_100000us_mm_only/qqq_2026_03_04_mm-only_heuristic,798082,241,0,0.0000,60,41.0943,3.9886,0.4075,4.0782,6
2026-03-05,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_05.csv,1258385,build/real_quote_symbol_suite/qqq/latency_100000us_mm_only/qqq_2026_03_05_mm-only_heuristic,1258361,1008,335,123.2192,60,476.2583,5.0701,0.8378,14.4995,24
2026-03-06,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_06.csv,1060721,build/real_quote_symbol_suite/qqq/latency_100000us_mm_only/qqq_2026_03_06_mm-only_heuristic,1060707,586,0,0.0000,60,279.5453,12.0735,0.8885,10.7014,14
2026-03-09,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_09.csv,725878,build/real_quote_symbol_suite/qqq/latency_100000us_mm_only/qqq_2026_03_09_mm-only_heuristic,725876,32,0,0.0000,60,15.2816,2.1706,0.2206,3.3281,2
2026-03-10,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_10.csv,898026,build/real_quote_symbol_suite/qqq/latency_100000us_mm_only/qqq_2026_03_10_mm-only_heuristic,897963,774,0,0.0000,60,268.2469,6.6514,0.8371,10.2880,63
2026-03-11,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_11.csv,1060913,build/real_quote_symbol_suite/qqq/latency_100000us_mm_only/qqq_2026_03_11_mm-only_heuristic,1060903,699,0,0.0000,60,326.0217,4.5460,0.7977,13.9417,10
2026-03-12,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_12.csv,1041602,build/real_quote_symbol_suite/qqq/latency_100000us_mm_only/qqq_2026_03_12_mm-only_heuristic,1041592,1025,367,68.1029,60,553.0635,8.0887,0.9514,17.4844,10
2026-03-13,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_13.csv,1111811,build/real_quote_symbol_suite/qqq/latency_100000us_mm_only/qqq_2026_03_13_mm-only_heuristic,1111769,698,0,0.0000,60,272.2110,3.7398,0.8217,10.2407,42
