date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-04-01,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_01.csv,603643,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_01_full_heuristic,603643,240,2617,0.0000,60,22.8275,9.6639,0.2320,1.8345,0
2026-04-02,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_02.csv,961061,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_02_full_heuristic,961061,917,99806,15.0426,60,239.6634,24.7019,0.6215,8.1238,0
2026-04-06,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_06.csv,408932,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_06_full_heuristic,408932,169,1416,0.0000,60,28.8394,3.9375,0.3708,2.5816,0
2026-04-07,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_07.csv,584756,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_07_full_heuristic,584756,892,24646,0.0000,60,194.4818,12.7329,0.7644,7.3253,0
2026-04-08,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_08.csv,664568,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_08_full_heuristic,664568,544,22231,1.5731,60,103.5095,8.2588,0.6419,5.9657,0
2026-04-09,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_09.csv,465035,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_09_full_heuristic,465035,562,24414,6.5599,60,278.9344,3.2563,1.1746,14.6643,0
2026-04-10,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_10.csv,342409,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_10_full_heuristic,342409,633,17304,15.3884,60,257.8017,3.0502,1.0108,13.6192,0
2026-04-13,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_13.csv,151544,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_13_full_heuristic,151544,252,1142,0.0000,60,83.6147,1.9648,0.5616,7.7339,0
2026-04-14,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_14.csv,361549,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_14_full_heuristic,361549,697,18038,42.8951,60,451.1871,2.7415,1.3570,18.1679,0
2026-04-15,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_15.csv,344213,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_15_full_heuristic,344213,903,26041,96.8981,60,490.3346,3.2003,1.3127,19.5597,0
2026-04-16,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_16.csv,438305,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_16_full_heuristic,438305,644,22883,6.3375,60,317.4105,5.4808,1.0002,15.2374,0
2026-04-17,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_17.csv,287100,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_17_full_heuristic,287100,281,5326,0.4972,60,73.5391,6.3480,0.5430,6.1063,0
2026-04-20,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_20.csv,325879,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_20_full_heuristic,325879,793,16059,6.9348,60,277.5402,4.6529,0.9984,12.6153,0
2026-04-21,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_21.csv,283320,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_21_full_heuristic,283320,788,13826,7.9004,60,300.2321,3.3982,1.2327,13.1435,0
2026-04-22,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_22.csv,315005,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_22_full_heuristic,315005,421,7208,5.8661,60,104.7976,4.4989,0.5559,6.5042,0
2026-04-23,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_23.csv,314051,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_23_full_heuristic,314051,529,12352,8.6242,60,224.7158,2.6697,0.9636,13.9830,0
2026-04-24,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_24.csv,217376,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_24_full_heuristic,217376,125,0,0.0000,60,37.5313,3.1442,0.5446,3.5286,0
2026-04-27,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_27.csv,506275,build/real_quote_symbol_suite/spy/latency_0us/spy_2026_04_27_full_heuristic,506275,968,27975,44.2681,60,268.5625,3.3361,1.0094,11.2542,0
