timestamp_ns,symbol,bid_price,ask_price,bid_size,ask_size
1776259800009609143,SPY,674.310000,716.070000,40.000000,40.000000
1776259800040327692,SPY,695.240000,716.070000,80.000000,40.000000
1776259800040407690,SPY,674.310000,716.070000,40.000000,40.000000
1776259800042848450,SPY,674.310000,695.270000,40.000000,80.000000
1776259800042853452,SPY,674.310000,716.070000,40.000000,40.000000
1776259800043775693,SPY,674.310000,696.410000,40.000000,80.000000
1776259800043815791,SPY,694.850000,696.410000,80.000000,80.000000
1776259800049489383,SPY,694.850000,695.270000,80.000000,80.000000
1776259800050251111,SPY,694.850000,695.300000,80.000000,80.000000
1776259800050291283,SPY,694.850000,696.410000,80.000000,80.000000
1776259800052291011,SPY,694.850000,695.300000,80.000000,80.000000
1776259800052496471,SPY,694.850000,695.310000,80.000000,80.000000
1776259800053493869,SPY,694.850000,696.410000,80.000000,80.000000
1776259800053975095,SPY,694.850000,695.290000,80.000000,80.000000
1776259800054130377,SPY,694.850000,696.410000,80.000000,80.000000
1776259800058335474,SPY,694.850000,695.300000,80.000000,80.000000
1776259800058420759,SPY,694.850000,696.410000,80.000000,80.000000
1776259800060495658,SPY,694.850000,695.300000,80.000000,80.000000
1776259800060655956,SPY,694.850000,695.310000,80.000000,80.000000
1776259800060891555,SPY,694.850000,696.410000,80.000000,80.000000
1776259800063217110,SPY,694.850000,695.300000,80.000000,80.000000
1776259800063302351,SPY,694.850000,695.310000,80.000000,80.000000
1776259800063337413,SPY,694.850000,696.410000,80.000000,80.000000
1776259800063583003,SPY,695.270000,696.410000,80.000000,80.000000
1776259800063738368,SPY,694.850000,696.410000,80.000000,80.000000
1776259800072579454,SPY,694.850000,695.300000,80.000000,80.000000
1776259800072900278,SPY,694.850000,696.410000,80.000000,80.000000
1776259800087745645,SPY,695.280000,696.410000,80.000000,80.000000
1776259800089625133,SPY,694.850000,696.410000,80.000000,80.000000
1776259800130197025,SPY,694.900000,696.410000,80.000000,80.000000
1776259800147322905,SPY,694.900000,696.410000,80.000000,80.000000
1776259800215741533,SPY,695.290000,696.410000,80.000000,80.000000
1776259800215786390,SPY,694.900000,696.410000,80.000000,80.000000
1776259800247993299,SPY,694.950000,696.410000,80.000000,80.000000
1776259800467707960,SPY,695.000000,696.410000,80.000000,80.000000
1776259800471988179,SPY,695.000000,696.460000,80.000000,80.000000
1776259800503082412,SPY,695.050000,696.460000,80.000000,80.000000
1776259800504881680,SPY,695.050000,696.510000,80.000000,80.000000
1776259800513111298,SPY,695.050000,696.510000,80.000000,160.000000
1776259800513633111,SPY,695.050000,696.510000,80.000000,80.000000
1776259800637774387,SPY,695.290000,696.510000,80.000000,80.000000
1776259800637954548,SPY,695.050000,696.510000,80.000000,80.000000
1776259800639648477,SPY,695.290000,696.510000,80.000000,80.000000
1776259800639773813,SPY,695.050000,696.510000,80.000000,80.000000
1776259800651366459,SPY,695.050000,696.510000,80.000000,160.000000
1776259800652509233,SPY,695.050000,696.510000,80.000000,80.000000
1776259800655571457,SPY,695.290000,696.510000,80.000000,80.000000
1776259800655751997,SPY,695.050000,696.510000,80.000000,80.000000
1776259800664718305,SPY,695.050000,695.480000,80.000000,80.000000
1776259800664763486,SPY,695.050000,696.510000,80.000000,80.000000
1776259800669770432,SPY,695.050000,695.470000,80.000000,80.000000
1776259800669785717,SPY,695.050000,696.510000,80.000000,80.000000
1776259800685893956,SPY,695.050000,695.520000,80.000000,80.000000
1776259800685934030,SPY,695.050000,696.510000,80.000000,80.000000
1776259800691356931,SPY,695.050000,695.510000,80.000000,80.000000
1776259800691592516,SPY,695.050000,696.510000,80.000000,80.000000
1776259800694063457,SPY,695.050000,695.510000,80.000000,80.000000
1776259800694720009,SPY,695.050000,696.510000,80.000000,80.000000
1776259800696489190,SPY,695.050000,695.510000,80.000000,80.000000
1776259800697807389,SPY,695.050000,696.510000,80.000000,80.000000
1776259800702102570,SPY,695.050000,695.500000,80.000000,80.000000
1776259800702247937,SPY,695.050000,696.510000,80.000000,80.000000
1776259800715334211,SPY,695.050000,695.500000,80.000000,80.000000
1776259800716436839,SPY,695.290000,695.500000,80.000000,80.000000
1776259800716687473,SPY,695.050000,695.500000,80.000000,80.000000
1776259800717048263,SPY,695.050000,696.510000,80.000000,80.000000
1776259800721624184,SPY,695.050000,695.510000,80.000000,80.000000
1776259800721744517,SPY,695.050000,695.510000,80.000000,40.000000
1776259800722280808,SPY,695.050000,696.510000,80.000000,80.000000
1776259800726616404,SPY,695.050000,695.520000,80.000000,80.000000
1776259800726781578,SPY,695.050000,696.510000,80.000000,80.000000
1776259800732660588,SPY,695.050000,695.510000,80.000000,80.000000
1776259800733196873,SPY,695.050000,696.510000,80.000000,80.000000
1776259800737938134,SPY,695.050000,695.520000,80.000000,80.000000
1776259800741516690,SPY,695.050000,696.510000,80.000000,80.000000
1776259800743511497,SPY,695.050000,695.480000,80.000000,80.000000
1776259800765849869,SPY,695.050000,696.510000,80.000000,80.000000
1776259800767734322,SPY,695.050000,695.500000,80.000000,80.000000
1776259800768586407,SPY,695.050000,696.510000,80.000000,80.000000
1776259800772821447,SPY,695.050000,695.510000,80.000000,80.000000
1776259800778951105,SPY,695.050000,696.510000,80.000000,80.000000
1776259800781006039,SPY,695.050000,695.520000,80.000000,80.000000
1776259800782233996,SPY,695.050000,696.510000,80.000000,80.000000
1776259800786464070,SPY,695.050000,695.510000,80.000000,80.000000
1776259800786589329,SPY,695.050000,696.510000,80.000000,80.000000
1776259800787316075,SPY,695.050000,695.520000,80.000000,80.000000
1776259800787526555,SPY,695.050000,696.510000,80.000000,80.000000
1776259800792267931,SPY,695.050000,695.510000,80.000000,80.000000
1776259800794934251,SPY,695.050000,696.510000,80.000000,80.000000
1776259800812761805,SPY,695.050000,696.560000,80.000000,80.000000
1776259800813202906,SPY,695.050000,695.510000,80.000000,80.000000
1776259800813253087,SPY,695.050000,695.510000,80.000000,200.000000
1776259800813353277,SPY,695.050000,695.510000,80.000000,80.000000
1776259800815498419,SPY,695.050000,696.560000,80.000000,80.000000
1776259800818275035,SPY,695.050000,695.510000,80.000000,80.000000
1776259800823071480,SPY,695.050000,696.560000,80.000000,80.000000
1776259800823733063,SPY,695.050000,695.510000,80.000000,80.000000
1776259800823783212,SPY,695.050000,696.560000,80.000000,80.000000
1776259800823878582,SPY,695.050000,695.510000,80.000000,80.000000
1776259800824670294,SPY,695.050000,696.560000,80.000000,80.000000
