symbol,portfolio_mode,signal_latency_us,sessions,total_pnl_bps,avg_daily_return_bps,minute_sharpe,worst_drawdown_bps,trade_count,latency_expired_signals,quote_source
SPY,full,0,51,11372.986500,222.999735,0.635252582814,-20.361615,29632,0,Alpaca historical IEX top-of-book quotes
SPY,mm-only,0,51,14323.515700,280.853249,0.761093435981,-8.608548,25743,0,Alpaca historical IEX top-of-book quotes
SPY,full,1000,51,11640.982300,228.254555,0.633781717596,-20.361615,29632,85,Alpaca historical IEX top-of-book quotes
SPY,mm-only,1000,51,14323.515700,280.853249,0.761093435981,-8.608548,25743,85,Alpaca historical IEX top-of-book quotes
SPY,full,10000,51,11640.982300,228.254555,0.633848917117,-20.361615,29632,149,Alpaca historical IEX top-of-book quotes
SPY,mm-only,10000,51,14323.515700,280.853249,0.761137633974,-8.608548,25743,149,Alpaca historical IEX top-of-book quotes
SPY,full,100000,51,11640.982300,228.254555,0.633955241891,-20.361615,29632,799,Alpaca historical IEX top-of-book quotes
SPY,mm-only,100000,51,14323.515700,280.853249,0.761641023971,-8.608548,25743,799,Alpaca historical IEX top-of-book quotes
