date,symbol,file_path,row_count,first_timestamp_ns,last_timestamp_ns,duration_minutes,min_bid,max_ask,mean_spread,median_spread,min_spread,max_spread,status
2026-05-13,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_13.csv,879584,1778679000000438690,1778682599963075940,59.9994,688.650000,715.000000,2.15784679,0.99148035,0.14090957,305.43520227,ok
2026-05-14,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_05_14.csv,832667,1778765400011389399,1778768999972258805,59.9993,693.330000,720.000000,2.09528274,0.97465208,0.13902308,372.96268250,ok
