date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-03-02,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_02.csv,1089154,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_02_full_heuristic,1089150,367,10725,4.3698,60,60.1086,10.7802,0.3431,2.8889,4
2026-03-03,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_03.csv,1237004,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_03_full_heuristic,1237002,756,49984,42.7436,60,40.0432,9.3078,0.2330,1.9453,2
2026-03-04,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_04.csv,841896,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_04_full_heuristic,841894,282,1051,0.0000,60,106.2846,9.9198,0.4236,3.4886,2
2026-03-05,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_05.csv,966139,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_05_full_heuristic,966137,166,1728,0.0000,60,16.2183,7.9972,0.1457,1.2884,2
2026-03-06,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_06.csv,1148151,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_06_full_heuristic,1148147,214,1766,0.0000,60,58.8583,7.0138,0.2629,2.4541,4
2026-03-09,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_09.csv,1188108,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_09_full_heuristic,1188104,106,0,0.0000,60,19.3706,8.3802,0.1450,1.0162,4
2026-03-10,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_10.csv,941763,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_10_full_heuristic,941761,208,2593,0.0000,60,191.9792,3.9638,0.1858,1.4594,2
2026-03-11,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_11.csv,794436,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_11_full_heuristic,794435,181,1613,0.0000,60,24.1628,11.9355,0.2023,1.5030,1
2026-03-12,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_12.csv,1018691,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_12_full_heuristic,1018690,208,2676,0.2344,60,226.1230,6.1312,0.1706,1.3127,1
2026-03-13,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_13.csv,605115,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_13_full_heuristic,605114,166,176,0.0000,60,14.2031,8.8332,0.1354,1.1614,1
2026-03-16,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_16.csv,616904,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_16_full_heuristic,616903,427,7694,25.6257,60,121.7244,20.2824,0.4258,3.3422,1
2026-03-17,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_17.csv,591954,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_17_full_heuristic,591953,235,1206,0.0000,60,101.1952,8.5504,0.4031,3.2006,1
2026-03-18,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_18.csv,742006,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_18_full_heuristic,742005,135,57,0.0000,60,13.9753,6.6504,0.1309,0.9904,1
2026-03-19,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_19.csv,791704,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_19_full_heuristic,791703,129,367,0.0000,60,6.7536,3.3851,0.1124,0.8194,1
2026-03-20,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_20.csv,822311,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_20_full_heuristic,822307,190,1290,0.0000,60,70.5934,7.0257,0.3769,2.9614,4
2026-03-23,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_23.csv,1053012,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_23_full_heuristic,1053004,194,1026,0.0000,60,46.6412,5.9137,0.2847,2.3968,8
2026-03-24,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_24.csv,816151,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_24_full_heuristic,816149,92,0,0.0000,60,2.6754,6.2983,0.0552,0.3588,2
2026-03-25,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_25.csv,340996,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_25_full_heuristic,340995,80,0,0.0000,60,124.3559,3.3606,0.4874,3.9972,1
2026-03-26,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_26.csv,448213,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_26_full_heuristic,448211,13,0,0.0000,60,5.9637,2.5786,0.1259,0.9791,2
2026-03-27,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_27.csv,899319,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_27_full_heuristic,899318,583,12590,0.6914,60,179.4918,14.4709,0.4383,3.8328,1
2026-03-30,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_30.csv,614781,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_30_full_heuristic,614777,113,0,0.0000,60,-2.8007,7.3079,-0.0496,-0.4032,4
2026-03-31,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_03_31.csv,594536,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_03_31_full_heuristic,594535,130,0,0.0000,60,40.4767,3.9255,0.3129,2.4717,1
2026-04-01,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_01.csv,1023217,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_04_01_full_heuristic,1023216,446,31638,617.3485,60,94.0779,9.0552,0.3776,2.8911,1
2026-04-02,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_02.csv,741259,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_04_02_full_heuristic,741258,404,6109,0.0400,60,128.5770,13.2701,0.5434,3.8334,1
2026-04-06,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_06.csv,604577,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_04_06_full_heuristic,604576,75,0,0.0000,60,16.1041,4.7835,0.1298,1.1669,1
2026-04-07,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_07.csv,543356,build/real_quote_symbol_suite/iwm/latency_10000us/iwm_2026_04_07_full_heuristic,543353,85,0,0.0000,60,-1.6621,7.5374,-0.0381,-0.2805,3
