date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-03-02,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_02.csv,1036245,build/real_quote_symbol_suite/qqq/latency_0us/qqq_2026_03_02_full_heuristic,1036245,701,30448,1.6802,60,309.8589,4.2697,0.7480,12.5138,0
2026-03-03,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_03.csv,1205769,build/real_quote_symbol_suite/qqq/latency_0us/qqq_2026_03_03_full_heuristic,1205769,1055,51110,12.7467,60,296.8262,4.8220,0.8650,10.7680,0
2026-03-04,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_04.csv,798088,build/real_quote_symbol_suite/qqq/latency_0us/qqq_2026_03_04_full_heuristic,798088,307,13176,0.0000,60,33.2469,4.1524,0.3578,3.5043,0
2026-03-05,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_05.csv,1258385,build/real_quote_symbol_suite/qqq/latency_0us/qqq_2026_03_05_full_heuristic,1258385,1095,63665,183.2358,60,343.1686,9.9584,0.7735,12.8726,0
2026-03-06,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_06.csv,1060721,build/real_quote_symbol_suite/qqq/latency_0us/qqq_2026_03_06_full_heuristic,1060721,680,35933,3.7034,60,248.1063,4.8961,0.9489,11.0579,0
2026-03-09,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_09.csv,725878,build/real_quote_symbol_suite/qqq/latency_0us/qqq_2026_03_09_full_heuristic,725878,93,0,0.0000,60,-12.4238,13.1570,-0.3255,-3.6361,0
2026-03-10,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_10.csv,898026,build/real_quote_symbol_suite/qqq/latency_0us/qqq_2026_03_10_full_heuristic,898026,876,52439,6.6754,60,211.3261,4.5720,0.8860,9.3527,0
2026-03-11,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_11.csv,1060913,build/real_quote_symbol_suite/qqq/latency_0us/qqq_2026_03_11_full_heuristic,1060913,792,46823,5.4240,60,228.1532,10.5149,0.6382,11.7588,0
2026-03-12,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_12.csv,1041602,build/real_quote_symbol_suite/qqq/latency_0us/qqq_2026_03_12_full_heuristic,1041602,1090,63208,3.4539,60,443.8290,8.6936,0.8315,17.5980,0
2026-03-13,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_13.csv,1111811,build/real_quote_symbol_suite/qqq/latency_0us/qqq_2026_03_13_full_heuristic,1111811,869,42242,28.0841,60,177.2921,8.2078,0.6523,7.9680,0
