date,symbol,file_path,row_count,prefix,processed_quotes,completed_trades,skipped_low_edge,missed_expected_edge_bps,return_intervals,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,trade_sharpe_reference,latency_expired_signals
2026-03-26,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_26.csv,1013162,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_26_full_heuristic,1013152,630,45812,22.6490,60,383.1284,8.7147,0.2477,1.9658,10
2026-03-27,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_27.csv,1123830,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_27_full_heuristic,1123829,833,52041,35.1259,60,206.1529,8.4134,0.8681,9.3911,1
2026-03-30,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_30.csv,1045025,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_30_full_heuristic,1045023,679,44622,16.8852,60,121.7761,6.6883,0.8349,6.5470,2
2026-03-31,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_03_31.csv,1116526,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_03_31_full_heuristic,1116515,607,47592,2.2233,60,184.0475,8.7033,0.6883,10.2490,11
2026-04-01,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_01.csv,1090605,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_04_01_full_heuristic,1090604,1221,47303,78.7451,60,233.2622,14.3175,0.7504,7.7009,1
2026-04-02,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_02.csv,872120,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_04_02_full_heuristic,872117,611,26483,7.2321,60,187.6533,5.9640,0.6191,9.7120,3
2026-04-06,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_06.csv,608254,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_04_06_full_heuristic,608249,106,757,0.0000,60,-10.6980,11.1335,-0.3100,-2.5534,5
2026-04-07,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_07.csv,620665,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_04_07_full_heuristic,620663,610,26552,0.7690,60,198.7023,3.7903,0.7112,10.8378,2
2026-04-08,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_08.csv,371444,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_04_08_full_heuristic,371438,441,10516,0.0000,60,31.7834,11.7569,0.3058,3.0340,6
2026-04-09,QQQ,/home/boss1000/Projects/HFT Training/Portfolio Quotes/QQQ_open60/qqq_2026_04_09.csv,741398,build/real_quote_symbol_suite/qqq/latency_10000us/qqq_2026_04_09_full_heuristic,741395,857,46152,652.7889,60,39.4056,13.9813,0.2679,2.5163,3
