date,source_dataset,gross_strategy_return,net_strategy_return,benchmark_return,turnover,trading_cost,cumulative_net_return
2023-03-13,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.0014251926076414012,0.0,0.0,1.0
2023-03-14,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.016530121735984116,0.0,0.0,1.0
2023-03-15,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.0062543288932490615,0.0,0.0,1.0
2023-03-16,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.017545172378967466,0.0,0.0,1.0
2023-03-17,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.011692612343420672,0.0,0.0,1.0
2023-03-20,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.009615617620955863,0.0,0.0,1.0
2023-03-21,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.013130588570542168,0.0,0.0,1.0
2023-03-22,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.017046661485448977,0.0,0.0,1.0
2023-03-23,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.00270341923573425,0.0,0.0,1.0
2023-03-24,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.006561987609382758,0.0,0.0,1.0
2023-03-27,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0018698430867170046,0.0,0.0,1.0
2023-03-28,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.002244678965476865,0.0,0.0,1.0
2023-03-29,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.01453497693514838,0.0,0.0,1.0
2023-03-30,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.005855224050304031,0.0,0.0,1.0
2023-03-31,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.014094712654368902,0.0,0.0,1.0
2023-04-03,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.003810373847181525,0.0,0.0,1.0
2023-04-04,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.005548129667958812,0.0,0.0,1.0
2023-04-05,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.0026180834151888766,0.0,0.0,1.0
2023-04-06,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0039007879068728712,0.0,0.0,1.0
2023-04-10,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0010264340082914991,0.0,0.0,1.0
2023-04-11,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.00026857811078340177,0.0,0.0,1.0
2023-04-12,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.004075965911426116,0.0,0.0,1.0
2023-04-13,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.013282529377335539,0.0,0.0,1.0
2023-04-14,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.002442804556537115,0.0,0.0,1.0
2023-04-17,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.003588411348147913,0.0,0.0,1.0
2023-04-18,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0006521253640527913,0.0,0.0,1.0
2023-04-19,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.00016866728422004762,0.0,0.0,1.0
2023-04-20,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.005457226709459251,0.0,0.0,1.0
2023-04-21,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0007768860313581705,0.0,0.0,1.0
2023-04-24,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0010430965519034885,0.0,0.0,1.0
2023-04-25,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.015873777110465337,0.0,0.0,1.0
2023-04-26,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.004235580626599789,0.0,0.0,1.0
2023-04-27,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.01990789467492582,0.0,0.0,1.0
2023-04-28,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.008535303816583406,0.0,0.0,1.0
2023-05-01,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.00100964854059582,0.0,0.0,1.0
2023-05-02,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.0112394753466456,0.0,0.0,1.0
2023-05-03,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.006863939508532257,0.0,0.0,1.0
2023-05-04,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.007082760345091588,0.0,0.0,1.0
2023-05-05,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.018512392502110675,0.0,0.0,1.0
2023-05-08,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0002665355815778536,0.0,0.0,1.0
2023-05-09,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.004385293615054242,0.0,0.0,1.0
2023-05-10,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.004672324524475302,0.0,0.0,1.0
2023-05-11,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.0017439252782979198,0.0,0.0,1.0
2023-05-12,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,-0.00131020966278661,0.0,0.0,1.0
2023-05-15,medium_term_alpha\Results\sample_prices.csv,0.0,0.0,0.0034499090541564303,0.0,0.0,1.0
