Date,AAPL,AMZN,GOOGL,JPM,MSFT,NVDA,SPY,UNH,XOM
2023-01-03,123.09602355957031,85.81999969482422,88.38945770263672,124.2925796508789,233.45278930664062,14.299908638000488,365.072021484375,487.19232177734375,95.4342041015625
2023-01-04,124.36567687988281,85.13999938964844,87.35798645019531,125.45165252685547,223.24081420898438,14.733450889587402,367.8905029296875,473.9096984863281,95.71196746826172
2023-01-05,123.04680633544922,83.12000274658203,85.4933853149414,125.42385864257812,216.6244659423828,14.249963760375977,363.69158935546875,460.25128173828125,97.85344696044922
2023-01-06,127.5741958618164,86.08000183105469,86.6240463256836,127.82389068603516,219.17745971679688,14.843335151672363,372.03179931640625,460.28887939453125,99.03617858886719
2023-01-09,128.09584045410156,87.36000061035156,87.29847717285156,127.29568481445312,221.3114471435547,15.611525535583496,371.8209533691406,460.34521484375,97.19039154052734
2023-01-10,128.6666717529297,89.87000274658203,87.69519805908203,128.4355010986328,222.99722290039062,15.892229080200195,374.42840576171875,456.5314025878906,98.64192199707031
2023-01-11,131.38314819335938,95.08999633789062,90.76979064941406,129.3899688720703,229.74024963378906,15.984131813049316,379.1641845703125,463.4826965332031,99.78881072998047
2023-01-12,131.3043975830078,95.2699966430664,90.38298797607422,129.26026916503906,232.41015625,16.493595123291016,380.5445556640625,465.6150817871094,101.4464340209961
2023-01-13,132.63308715820312,98.12000274658203,91.36486053466797,132.5220489501953,233.1117706298828,16.881183624267578,382.0209045410156,459.8848876953125,101.38372039794922
2023-01-17,133.7944793701172,96.05000305175781,90.54167938232422,130.47413635253906,234.20309448242188,17.68334197998047,381.3211364746094,455.66717529296875,101.18659210205078
2023-01-18,133.07598876953125,95.45999908447266,90.3730697631836,126.55435943603516,229.7792205810547,17.358686447143555,375.30078125,447.36322021484375,99.10784912109375
2023-01-19,133.13504028320312,93.68000030517578,92.28724670410156,124.86786651611328,225.99842834472656,16.747325897216797,372.5686950683594,454.9908752441406,99.74403381347656
2023-01-20,135.69398498535156,97.25,97.21650695800781,125.17366027832031,234.076416015625,17.82019805908203,379.5092468261719,457.2077941894531,101.56291961669922
2023-01-23,138.8828887939453,97.5199966430664,98.97199249267578,127.20304870605469,236.37606811523438,19.172765731811523,384.06280517578125,456.3529052734375,101.03427124023438
2023-01-24,140.2804718017578,96.31999969482422,96.89913177490234,128.29644775390625,235.84986877441406,19.24468994140625,383.65069580078125,461.7918395996094,101.97508239746094
2023-01-25,139.62106323242188,97.18000030517578,94.439453125,128.91734313964844,234.4564666748047,19.302631378173828,383.7944030761719,462.6372375488281,101.43746948242188
2023-01-26,141.68792724609375,99.22000122070312,96.72059631347656,129.7142791748047,241.65745544433594,19.781124114990234,388.0124816894531,462.6185607910156,105.51433563232422
2023-01-27,143.62680053710938,102.23999786376953,98.55545043945312,130.0293731689453,241.8133544921875,20.343530654907227,388.90399169921875,456.5783386230469,103.58790588378906
2023-01-30,140.7429962158203,100.55000305175781,96.14537048339844,128.92662048339844,236.5027618408203,19.141801834106445,384.0245056152344,456.3341979980469,101.75109100341797
2023-01-31,142.01266479492188,103.12999725341797,98.02977752685547,129.69577026367188,241.4722900390625,19.516408920288086,389.67095947265625,468.921630859375,103.94631958007812
2023-02-01,143.1346893310547,105.1500015258789,99.60674285888672,129.35289001464844,246.2859649658203,20.92092514038086,393.8122863769531,466.86444091796875,102.80838012695312
