date,strategy_monthly_return
2018-01-31,0.0
2018-02-28,0.0
2018-03-31,0.0
2018-04-30,0.0
2018-05-31,0.0
2018-06-30,0.0
2018-07-31,0.0
2018-08-31,0.06511869936344894
2018-09-30,0.0234085207355903
2018-10-31,-0.03429529165824108
2018-11-30,0.036749544748636565
2018-12-31,-0.02473369311983642
2019-01-31,0.00749550541501387
2019-02-28,0.01798022135335753
2019-03-31,0.006503161535232671
2019-04-30,0.014031068070722741
2019-05-31,-0.03151672022111529
2019-06-30,0.05101075968495006
2019-07-31,0.007509426351527404
2019-08-31,0.00675185841444681
2019-09-30,0.013862032971719174
2019-10-31,0.033578185949330264
2019-11-30,0.022738768654547492
2019-12-31,0.05420249930589005
2020-01-31,0.02240993250619594
2020-02-29,-0.016579840650919775
2020-03-31,-0.00734684087499704
2020-04-30,0.07638139522689191
2020-05-31,0.00739230321058848
2020-06-30,0.04129388263455791
2020-07-31,0.053440668793701906
2020-08-31,0.07179151547345364
2020-09-30,-0.02037133979219652
2020-10-31,-0.0167841451620796
2020-11-30,0.08069919267897485
2020-12-31,0.050991110756321234
2021-01-31,0.002798387487004561
2021-02-28,0.06348465520184132
2021-03-31,0.0231213279685889
2021-04-30,0.023020626010340273
2021-05-31,0.027904988718281398
2021-06-30,0.0033392138630439216
2021-07-31,-0.002861991660346286
2021-08-31,0.04767613498573087
2021-09-30,-0.06179118573162368
2021-10-31,0.10070175979365104
2021-11-30,0.016839765681510244
2021-12-31,-0.007746845171749728
2022-01-31,-0.06388503518525346
2022-02-28,0.014712629985901504
2022-03-31,0.022987108823257163
2022-04-30,-0.016376915942104886
2022-05-31,0.0005192673460632236
2022-06-30,-0.03377757627011413
2022-07-31,0.00010829011192159399
2022-08-31,-0.01719314192800725
2022-09-30,-0.03963382413639516
2022-10-31,0.0545393439888624
2022-11-30,0.011849018377602993
2022-12-31,-0.0006364670302654307
2023-01-31,0.0226993627417853
2023-02-28,-0.0004023998191151623
2023-03-31,0.029167377790679794
2023-04-30,0.0070257669206321705
2023-05-31,0.04408367111634348
2023-06-30,0.04199008776234803
2023-07-31,0.02730714363593645
2023-08-31,0.0003389215624398645
2023-09-30,-0.04146992074434541
2023-10-31,-0.014895809415083394
2023-11-30,0.06232576580474336
2023-12-31,0.06670938218348121
2024-01-31,0.01539445899773284
2024-02-29,0.07106352935885307
2024-03-31,0.03460533325240389
2024-04-30,-0.02443781745910867
2024-05-31,0.0436235899003492
2024-06-30,0.014154959172476778
2024-07-31,-0.02354188888058173
2024-08-31,0.018601413884794304
2024-09-30,0.018551888743749245
2024-10-31,-0.014258545579228565
2024-11-30,0.08704518130684802
2024-12-31,-0.005000908887997979
2025-01-31,0.01614134620468133
2025-02-28,-0.03636894447960759
2025-03-31,-0.03443029320268465
2025-04-30,-0.019751109446296433
2025-05-31,0.01066139506388386
2025-06-30,0.0227157300190175
2025-07-31,-0.008917880120947852
2025-08-31,0.0024575158476456416
2025-09-30,0.04356666547838506
2025-10-31,0.0976570324302386
2025-11-30,-0.00336818270152206
2025-12-31,0.011165106057226648
2026-01-31,0.07034994291463437
2026-02-28,0.015481650755642784
2026-03-31,-0.021873770664609826
2026-04-30,0.01838278971095275
2026-05-31,0.05891279014427209
